EMU113	eshitish yoʻllarini yuvish emulsiyasi	эмульсия для промывания слухового прохода						
EMU114	tish emulsiyalari	эмульсия зубная						
EMU115	rektal emulsiyalar	эмульсия ректальная						
SOL101	eritma	раствор						
SOL102	vaginal eritma	раствор вагинальный						
SOL103	bachadon ichiga eritma	раствор внутриматочный						
SOL104	arteriya ichiga yuborish uchun eritma	раствор для внутриартериального введения						
SOL105	qorin boʻshligʻi ichiga yuborish uchun eritma	раствор для внутрибрюшинного введения						
SOL106	vena ichiga yuborish uchun eritma	раствор для внутривенного введения						
SOL107	koʻz ichiga yuborish uchun eritma	раствор для внутриглазного введения						
SOL108	teri ichiga yuborish uchun eritma	раствор для внутрикожного введения						
SOL109	koronar tomir ichiga yuborish uchun eritma	раствор для внутрикоронарного введения						
SOL110	mushak ichiga yuborish uchun eritma 	раствор для внутримышечного введения						
SOL111	boʻshliq ichiga yuborish uchun eritma 	раствор для внутриполостного введения						
SOL112	pufak ichiga yuborish uchun eritma	раствор для внутрипузырного введения						
SOL113	boʻgʻim ichiga yuborish uchun eritma	раствор для внутрисуставного введения						
SOL114	gastroenteral yuborish uchun eritma	раствор для гастроэнтерального введения						
SOL115	gemodializ uchun eritma	раствор для гемодиализа						
SOL116	gemodiafiltratsiya uchun eritma 	раствор для гемодиафильтрации						
SOL117	gemofiltratsiya uchun eritma	раствор для гемофильтрации						
SOL118	ingalyatsiya uchun eritma 	раствор для ингаляций						
SOL119	intraamniotik (amniotik qavat ichiga) yuborish uchun eritma	раствор для интраамниального введения						
SOL120	limfa ichiga yuborish uchun eritma 	раствор для интралимфатического введения						
SOL121	intratekal yuborish uchun eritma	раствор для интратекального введения						
SOL122	infuziya uchun eritma 	раствор для инфузий						
SOL123	inyeksiya uchun eritma 	раствор для инъекций						
SOL124	mahalliy qoʻllash uchun eritma 	раствор для местного применения						
SOL125	teri ustiga skarifikatsiya sinamasi uchun eritma 	раствор для накожного скарификационного нанесения						
SOL126	milklarga surtish uchun eritma	раствор для нанесения на десны						
SOL127	sirtga qoʻllash uchun eritma 	раствор для наружного применения						
SOL128	boʻgʻim atrofiga yuborish uchun eritma 	раствор для околосуставного введения						
SOL129	meʼdani yuvish uchun eritma 	раствор для орошения желудка						
SOL130	siydik pufagini yuvish uchun eritma	раствор для орошения мочевого пузыря						
SOL131	parabulbar yuborish uchun eritma 	раствор для парабульбарного введения						
SOL132	peritoneal dializ uchun eritma	раствор для перитонеального диализа						
SOL133	teri ostiga yuborish uchun eritma 	раствор для подкожного введения						
SOL134	chayish uchun eritma 	раствор для полоскания						
SOL135	ichga qabul qilish uchun eritma 	раствор для приема внутрь						
SOL136	prik-test oʻtkazish uchun eritma	раствор для проведения прик-теста						
SOL137	koʻzni yuvish uchun eritma 	раствор для промывания глаз						
SOL138	burun boʻshligʻini yuvish uchun eritma 	раствор для промывания полости носа						
SOL139	ogʻiz boʻshligʻini yuvish uchun eritma 	раствор для промывания полости рта						
SOL140	eshitish yoʻllarini yuvish uchun eritma 	раствор для промывания слухового прохода						
SOL141	ogʻiz boʻshligʻi shilliq qavati uchun eritma 	раствор для слизистой оболочки полости рта						
SOL142	subkonyunktival yuborish uchun eritma	раствор для субконъюнктивального введения						
SOL143	ekstraamniotik (amniotik qavat sirtiga) yuborish uchun eritma	раствор для экстраамниального введения						
SOL144	endosinusial yuborish uchun eritma 	раствор для эндосинусиального введения						
SOL145	endotraxeal yuborish uchun eritma	раствор для эндотрахеального введения						
SOL146	tish eritmasi 	раствор зубной						
SOL147	rektal eritma 	раствор ректальный						
SOL148	transdermal eritma	раствор трансдермальный						
IMP101	implantat	имплантат						
IMP102	teri ostiga yuborish uchun implantat	имплантат для подкожного введения						
IMP103	intravitreal implantat	имплантат интравитреальный						
SPI101	inyeksiya uchun vaksina tayyorlash uchun erituvchi	растворитель для приготовления вакцин для инъекций						
CON101	konsentrat	концентрат						
CON102	vena ichiga yuborish uchun dispersiya tayyorlash uchun konsentrat	концентрат для приготовления дисперсии для внутривенного введения						
CON103	teri ichiga yuborish uchun dispersiya tayyorlash uchun konsentrat	концентрат для приготовления дисперсии для внутрикожного введения						
CON104	infuziya uchun dispersiya tayyorlash uchun konsentrat	концентрат для приготовления дисперсии для инфузий						
CON105	inyeksiya uchun dispersiya tayyorlash uchun konsentrat	концентрат для приготовления дисперсии для инъекций						
CON106	vaginal eritma tayyorlash uchun konsentrat	концентрат для приготовления раствора вагинального						
CON107	bachadon ichiga eritma tayyorlash uchun konsentrat	концентрат для приготовления раствора внутриматочного						
CON108	arteriya ichiga yuborish uchun eritma tayyorlash uchun konsentrat	концентрат для приготовления раствора для внутриартериального введения						
CON109	qorin boʻshligʻi ichiga yuborish uchun eritma tayyorlash uchun konsentrat	концентрат для приготовления раствора для внутрибрюшинного введения						
CON110	vena ichiga yuborish uchun eritma tayyorlash uchun konsentrat	концентрат для приготовления раствора для внутривенного введения						
CON111	koʻz ichiga yuborish uchun eritma tayyorlash uchun konsentrat	концентрат для приготовления раствора для внутриглазного введения						
CON112	teri ichiga yuborish uchun eritma tayyorlash uchun konsentrat	концентрат для приготовления раствора для внутрикожного введения						
CON113	koronar tomir ichiga yuborish uchun eritma tayyorlash uchun konsentrat	концентрат для приготовления раствора для внутрикоронарного введения						
CON114	mushak ichiga yuborish uchun eritma tayyorlash uchun konsentrat	концентрат для приготовления раствора для внутримышечного введения						
CON115	boʻshliq ichiga yuborish uchun eritma tayyorlash uchun konsentrat	концентрат для приготовления раствора для внутриполостного введения						
CON116	pufak ichiga yuborish uchun eritma tayyorlash uchun konsentrat	концентрат для приготовления раствора для внутрипузырного введения						
CON117	boʻgʻim ichiga yuborish uchun eritma tayyorlash uchun konsentrat	концентрат для приготовления раствора для внутрисуставного введения						
CON118	gastroenteral yuborish uchun eritma tayyorlash uchun konsentrat	концентрат для приготовления раствора для гастроэнтерального введения						
CON119	gemodializ uchun eritma tayyorlash uchun konsentrat	концентрат для приготовления раствора для гемодиализа						
CON120	gemodiafiltratsiya uchun eritma tayyorlash uchun konsentrat	концентрат для приготовления раствора для гемодиафильтрации						
CON121	gemofiltratsiya uchun eritma tayyorlash uchun konsentrat	концентрат для приготовления раствора для гемофильтрации						
CON122	ingalyatsiya uchun eritma tayyorlash uchun konsentrat 	концентрат для приготовления раствора для ингаляций						
CON123	intraamnial yuborish uchun eritma tayyorlash uchun konsentrat 	концентрат для приготовления раствора для интраамниального введения						
CON124	intralimfatik (limfa ichiga) yuborish uchun eritma tayyorlash uchun konsentrat	концентрат для приготовления раствора для интралимфатического введения						
CON125	intratekal yuborish uchun eritma tayyorlash uchun konsentrat 	концентрат для приготовления раствора для интратекального введения						
CON126	infuziya uchun eritma tayyorlash uchun konsentrat 	концентрат для приготовления раствора для инфузий						
CON127	inyeksiya uchun eritma tayyorlash uchun konsentrat  	концентрат для приготовления раствора для инъекций						
CON128	mahalliy qoʻllash uchun eritma tayyorlash uchun konsentrat  	концентрат для приготовления раствора для местного применения						
CON129	teri ustiga skarifikatsiya sinamasi uchun eritma tayyorlash uchun konsentrat	концентрат для приготовления раствора для накожного скарифицированного нанесения						
CON130	milklarga surtish uchun eritma tayyorlash uchun konsentrat	концентрат для приготовления раствора для нанесения на десны						
CON131	sirtga qoʻllash uchun eritma tayyorlash uchun konsentrat	концентрат для приготовления раствора для наружного применения						
CON132	boʻgʻim atrofiga yuborish uchun eritma tayyorlash uchun konsentrat	концентрат для приготовления раствора для околосуставного введения						
CON133	meʼdani yuvish uchun eritma tayyorlash uchun konsentrat	концентрат для приготовления раствора для орошения желудка						
CON134	siydik pufagini yuvish uchun eritma tayyorlash uchun konsentrat 	концентрат для приготовления раствора для орошения мочевого пузыря						
CON135	parabulbar yuborish uchun eritma tayyorlash uchun konsentrat	концентрат для приготовления раствора для парабульбарного введения						
CON136	peritoneal dializ uchun eritma tayyorlash uchun konsentrat 	концентрат для приготовления раствора для перитонеального диализа						
CON137	teri ostiga yuborish uchun eritma tayyorlash uchun konsentrat 	концентрат для приготовления раствора для подкожного введения						
CON138	chayish uchun eritma tayyorlash uchun konsentrat	концентрат для приготовления раствора для полоскания						
CON139	ichga qabul qilish uchun eritma tayyorlash uchun konsentrat	концентрат для приготовления раствора для приема внутрь						
CON140	prik-testni oʻtkazish uchun eritma tayyorlash uchun konsentrat	концентрат для приготовления раствора для проведения прик-теста						
CON141	koʻzni yuvish uchun eritma tayyorlash uchun konsentrat	концентрат для приготовления раствора для промывания глаз						
CON142	burun boʻshligʻini yuvish uchun eritma tayyorlash uchun konsentrat	концентрат для приготовления раствора для промывания полости носа						
CON143	ogʻiz boʻshligʻini chayish uchun eritma tayyorlash uchun konsentrat	концентрат для приготовления раствора для промывания полости рта						
CON144	eshitish yoʻlini yuvish uchun eritma tayyorlash uchun konsentrat	концентрат для приготовления раствора для промывания слухового прохода						
CON145	ogʻiz boʻshligʻi shilliq qavati uchun eritma tayyorlash uchun konsentrat	концентрат для приготовления раствора для слизистой оболочки полости рта						
CON146	subkonyunktival yuborish uchun eritma tayyorlash uchun konsentrat 	концентрат для приготовления раствора для субконъюнктивального введения						
CON147	ekstraamnial yuborish uchun eritma tayyorlash uchun konsentrat 	концентрат для приготовления раствора для экстраамниального введения						
CON148	endosinusial yuborish uchun eritma tayyorlash uchun konsentrat 	концентрат для приготовления раствора для эндосинусиального введения						
CON149	endotraxeal yuborish uchun eritma tayyorlash uchun konsentrat	концентрат для приготовления раствора для эндотрахеального введения						
CON150	tish eritmasi tayyorlash uchun konsentrat	концентрат для приготовления раствора зубного						
CON151	rektal ertima tayyorlash uchun konsentrat	концентрат для приготовления раствора ректального						
CON152	transdermal eritma tayyorlash uchun konsentrat	концентрат для приготовления раствора трансдермального						
CON153	vaginal suspenziya tayyorlash uchun konsentrat	концентрат для приготовления суспензии вагинальной						
CON154	teri ichiga yuborish uchun suspenziya tayyorlash uchun konsentrat	концентрат для приготовления суспензии для внутрикожного введения						
CON155	mushak ichiga yuborish uchun suspenziya tayyorlash uchun konsentrat	концентрат для приготовления суспензии для внутримышечного введения						
CON156	boʻgʻim ichiga yuborish uchun suspenziya tayyorlash uchun konsentrat 	концентрат для приготовления суспензии для внутрисуставного введения						
CON157	gastroenteral yuborish uchun suspenziya tayyorlash uchun konsentrat 	концентрат для приготовления суспензии для гастроэнтерального введения						
CON158	inyeksiya uchun suspenziya tayyorlash uchun konsentrat 	концентрат для приготовления суспензии для инъекций						
CON159	ajralib chiqishi uzaytirilgan inyeksiya uchun suspenziya tayyorlash uchun konsentrat	концентрат для приготовления суспензии для инъекций с пролонгированным высвобождением						
CON160	implantatsiya uchun suspenziya tayyorlash uchun konsentrat	концентрат для приготовления суспензии для имплантации						
CON161	ingalyatsiya uchun suspenziya tayyorlash uchun konsentrat	концентрат для приготовления суспензии для ингаляций						
CON162	mahalliy qoʻllash uchun suspenziya tayyorlash uchun konsentrat	концентрат для приготовления суспензии для местного применения						
CON163	teri ustiga skarifikatsiya sinamasi uchun suspenziya tayyorlash uchun konsentrat	концентрат для приготовления суспензии для накожного скарификационного нанесения						
CON164	sirtga qoʻllash uchun suspenziya tayyorlash uchun konsentrat	концентрат для приготовления суспензии для наружного применения						
CON165	boʻgʻim atrofiga yuborish uchun suspenziya tayyorlash uchun konsentrat	концентрат для приготовления суспензии для околосуставного введения						
CON166	teri ostiga yuborish uchun suspenziya tayyorlash uchun konsentrat	концентрат для приготовления суспензии для подкожного введения						
CON167	ichga qabul qilish uchun suspenziya tayyorlash uchun konsentrat	концентрат для приготовления суспензии для приема внутрь						
CON168	ogʻiz boʻshligʻi shilliq qavati uchun suspenziya tayyorlash uchun konsentrat	концентрат для приготовления суспензии для слизистой оболочки полости рта						
CON169	endosinusial yuborish uchun suspenziya tayyorlash uchun konsentrat	концентрат для приготовления суспензии для эндосинусиального введения						
CON170	endotraxeal yuborish uchun suspenziya tayyorlash uchun konsentrat	концентрат для приготовления суспензии для эндотрахеального введения						
CON171	tish suspenziyasi tayyorlash uchun konsentrat	концентрат для приготовления суспензии зубной						
CON172	rektal suspenziya tayyorlash uchun konsentrat	концентрат для приготовления суспензии ректальной						
CON173	vaginal emulsiya tayyorlash uchun konsentrat	концентрат для приготовления эмульсии вагинальной						
CON174	bachadon ichiga emulsiya tayyorlash uchun konsentrat	концентрат для приготовления эмульсии внутриматочной						
CON175	vena ichiga yuborish uchun emulsiya tayyorlash uchun konsentrat	концентрат для приготовления эмульсии для внутривенного введения						
CON176	mushak ichiga yuborish uchun emulsiya tayyorlash uchun konsentrat	концентрат для приготовления эмульсии для внутримышечного введения						
CON177	gastroenteral yuborish uchun emulsiya tayyorlash uchun konsentrat	концентрат для приготовления эмульсии для гастроэнтерального введения						
CON178	ingalyatsiya uchun emulsiya tayyorlash uchun konsentrat	концентрат для приготовления эмульсии для ингаляций						
CON179	infuziya uchun emulsiya tayyorlash uchun konsentrat	концентрат для приготовления эмульсии для инфузий						
CON180	inyeksiya uchun emulsiya tayyorlash uchun konsentrat	концентрат для приготовления эмульсии для инъекций						
CON181	mahalliy qoʻllash uchun emulsiya tayyorlash uchun konsentrat	концентрат для приготовления эмульсии для местного применения						
CON182	sirtga qoʻllash uchun emulsiya tayyorlash uchun konsentrat	концентрат для приготовления эмульсии для наружного применения						
CON183	ichga qabul qilish uchun emulsiya tayyorlash uchun konsentrat	концентрат для приготовления эмульсии для приема внутрь						
CON184	eshitish yoʻlini yuvish uchun emulsiya tayyorlash uchun konsentrat	концентрат для приготовления эмульсии для промывания слухового прохода						
CON185	tish emulsiyasi tayyorlash uchun konsentrat	концентрат для приготовления эмульсии зубной						
CON186	rektal emulsiya tayyorlash uchun konsentrat	концентрат для приготовления эмульсии ректальной						
OIL101	moy	масло						
OIL102	ingalyatsiya uchun moy	масло для ингаляций						
OIL103	mahalliy qoʻllash uchun moy	масло для местного применения						
OIL104	sirtga qoʻllash uchun moy	масло для наружного применения						
OIL105	ichga qabul qilish uchun moy	масло для приема внутрь						
SYR101	sirop	сироп						
SUS101	suspenziya	суспензия						
SUS102	vaginal suspenziya	суспензия вагинальная						
SUS103	teri ichiga yuborish uchun suspenziya 	суспензия для внутрикожного введения						
SUS104	mushak ichiga yuborish uchun suspenziya 	суспензия для внутримышечного введения						
SUS105	boʻgʻim ichiga yuborish uchun suspenziya 	суспензия для внутрисуставного введения						
SUS106	gastroenteral yuborish uchun suspenziya 	суспензия для гастроэнтерального введения						
SUS107	inyeksiya uchun suspenziya 	суспензия для инъекций						
SUS108	taʼsiri uzaytirilgan inyeksiya uchun suspenziya 	суспензия для инъекций с пролонгированным высвобождением						
SUS109	implantatsiya uchun suspenziya 	суспензия для имплантации						
SUS110	ingalyatsiya uchun suspenziya 	суспензия для ингаляций						
SUS111	mahalliy qoʻllash uchun suspenziya 	суспензия для местного применения						
SUS112	teri ustiga skarifikatsiya sinamasi uchun suspenziya 	суспензия для накожного скарификационного нанесения						
SUS113	sirtga qoʻllash uchun suspenziya 	суспензия для наружного применения						
SUS114	boʻgʻim atrofiga yuborish uchun suspenziya 	суспензия для околосуставного введения						
SUS115	teri ostiga yuborish uchun suspenziya 	суспензия для подкожного введения						
SUS116	ichga qabul qilish uchun suspenziya 	суспензия для приема внутрь						
SUS117	ogʻiz boʻshligʻi shilliq qavati uchun suspenziya	суспензия для слизистой оболочки полости рта						
SUS118	endosinusial yuborish uchun suspenziya 	суспензия для эндосинусиального введения						
SUS119	endotraxeal yuborish uchun suspenziya	суспензия для эндотрахеального введения						
SUS120	tish suspenziyasi	суспензия зубная						
SUS121	rektal suspenziya	суспензия ректальная						
LIE101	suyuq ekstrakt	экстракт жидкий						
LIQ101	suyuqlik	жидкость						
LIQ102	ingalyatsiya uchun suyuqlik	жидкость для ингаляций						
LIQ103	sirtga qoʻllash uchun suyuqlik	жидкость для наружного применения						
LIQ104	ichga qoʻllash uchun suyuqlik	жидкость для приема внутрь						
TIN101	tindirma	настойка						
TIN102	ingalyatsiya uchun tindirma	настойка для ингаляций						
TIN103	mahalliy qoʻllash uchun tindirma	настойка для местного применения						
TIN104	sirtga qoʻllash uchun tindirma	настойка для наружного применения						
DRO101	tomchilar	капли						
DRO102	koʻz tomchilari	капли глазные						
DRO103	ajralib chiqishi uzaytirilgan koʻz tomchilari  	капли глазные с пролонгированным высвобождением						
DRO104	ingalyatsiya uchun tomchilar	капли для ингаляций						
DRO105	mahalliy qoʻllash uchun tomchilar	капли для местного применения						
DRO106	ogʻiz boʻshligʻi shilliq qavatida qoʻllash uchun tomchilar	капли для нанесения на слизистую оболочку полости рта						
DRO107	ichga qabul qilish uchun tomchilar	капли для приема внутрь						
DRO108	tish tomchilari	капли зубные						
DRO109	nazal tomchilari	капли назальные						
DRO110	til osti tomchilari	капли подъязычные						
DRO111	quloq tomchilari	капли ушные						
CHM101	dorivor chaynov saqichi	резинка жевательная лекарственная						
SPM101	dorivor gubka	губка лекарственная						
PEM101	dorivor qalamchalar	карандаш лекарственный						
LOM101	dorivor pastilkalar	пастилки лекарственные						
PLM101	dorivor plastinalar	пластины лекарственные						
LOM101	dorivor shiimladigan tabletkalar 	леденцы лекарственные						
DRA101	draje	драже						
SHP101	gomeopatik dorilarning maxsus shakli	специальные формы гомеопатических препаратов						
GRA101	granulalar	гранулы						
GRA102	shimish uchun granulalar	гранулы для рассасывания						
GRA103	ichakda eruvchi granulalar	гранулы кишечнорастворимые						
GRA104	ajralib chiqishi uzaytirilgan ichakda eruvchi granulalar	гранулы кишечнорастворимые с пролонгированным высвобождением						
GRA105	qobiq bilan qoplangan granulalar	гранулы, покрытые оболочкой						
GRA106	kesib presslangan granulalar	гранулы резано-прессованные						
GRA107	ajralib chiqishi modifikatsiya qilingan granulalar	гранулы с модифицированным высвобождением						
GRA108	ajralib chiqishi uzaytirilgan granulalar	гранулы с пролонгированным высвобождением						
GRA109	vishillovchi granulalar	гранулы шипучие						
GRA110	koʻz tomchilari tayyorlash uchun granulalar	гранулы для приготовления капель глазных						
GRA111	ajralib chiqishi uzaytirilgan koʻz tomchilari tayyorlash uchun granulalar 	гранулы для приготовления капель глазных с пролонгированным высвобождением						
GRA112	ingalyatsiya uchun tomchi tayyorlash uchun granulalar	гранулы для приготовления капель для ингаляции						
GRA113	mahalliy qoʻllash uchun tomchi tayyorlash uchun granulalar	гранулы для приготовления капель для местного применения						
GRA114	ogʻiz boʻshligʻi shilliq qavatida qoʻllash uchun tomchi tayyorlash uchun granulalar	гранулы для приготовления капель для нанесения на слизистую оболочку полости рта						
GRA115	ichga qabul qilish uchun tomchi tayyorlash uchun granulalar	гранулы для приготовления капель для приема внутрь						
GRA116	tish tomchilari tayyorlash uchun granulalar	гранулы для приготовления капель зубных						
GRA117	nazal tomchilarini tayyorlash uchun granulalar	гранулы для приготовления капель назальных						
GRA118	til osti tomchilarini tayyorlash uchun granulalar	гранулы для приготовления капель подъязычных						
GRA119	quloq tomchilarini tayyorlash uchun granulalar	гранулы для приготовления капель ушных						
GRA120	vaginal eritma tayyorlash uchun granulalar	гранулы для приготовления раствора вагинального						
GRA121	bachadon ichiga eritma tayyorlash uchun granulalar	гранулы для приготовления раствора внутриматочного						
GRA122	arteriya ichiga yuborish uchun eritma tayyorlash uchun granulalar	гранулы для приготовления раствора для внутриартериального введения						
GRA123	qorin boʻshligʻi ichiga yuborish uchun eritma tayyorlash uchun granulalar	гранулы для приготовления раствора для внутрибрюшинного введения						
GRA124	vena ichiga yuborish uchun eritma tayyorlash uchun granulalar	гранулы для приготовления раствора для внутривенного введения						
GRA125	koʻz ichiga yuborish uchun eritma tayyorlash uchun granulalar	гранулы для приготовления раствора для внутриглазного введения						
GRA126	teri ichiga yuborish uchun eritma tayyorlash uchun granulalar	гранулы для приготовления раствора для внутрикожного введения						
GRA127	koronar qon tomiri ichiga yuborish uchun eritma tayyorlash uchun granulalar	гранулы для приготовления раствора для внутрикоронарного введения						
GRA128	mushak ichiga yuborish uchun eritma tayyorlash uchun granulalar	гранулы для приготовления раствора для внутримышечного введения						
GRA129	boʻshliq ichiga yuborish uchun eritma tayyorlash uchun granulalar	гранулы для приготовления раствора для внутриполостного введения						
GRA130	pufak ichiga yuborish uchun eritma tayyorlash uchun granulalar	гранулы для приготовления раствора для внутрипузырного введения						
GRA131	boʻgʻim ichiga yuborish uchun eritma tayyorlash uchun granulalar 	гранулы для приготовления раствора для внутрисуставного введения						
GRA132	gastroenteral yuborish uchun eritma tayyorlash uchun granulalar 	гранулы для приготовления раствора для гастроэнтерального введения						
GRA133	gemodializ uchun eritma tayyorlash uchun granulalar 	гранулы для приготовления раствора для гемодиализа						
GRA134	gemodiafiltratsiya uchun eritma tayyorlash uchun granulalar 	гранулы для приготовления раствора для гемодиафильтрации						
GRA135	gemofiltratsiya uchun eritma tayyorlash uchun granulalar 	гранулы для приготовления раствора для гемофильтрации						
GRA136	ingalyatsiya uchun eritma tayyorlash uchun granulalar 	гранулы для приготовления раствора для ингаляций						
GRA137	intraamnial yuborish uchun eritma tayyorlash uchun granulalar 	гранулы для приготовления раствора для интраамниального введения						
GRA138	intralimfatik (limfa ichiga) yuborish uchun eritma tayyorlash uchun granulalar 	гранулы для приготовления раствора для интралимфатического введения						
GRA139	intratekal yuborish uchun eritma tayyorlash uchun granulalar 	гранулы для приготовления раствора для интратекального введения						
GRA140	infuziya uchun eritma tayyorlash uchun granulalar 	гранулы для приготовления раствора для инфузий						
GRA141	inyeksiya uchun eritma tayyorlash uchun granulalar 	гранулы для приготовления раствора для инъекций						
